"item_id","tipo","caminho_arquivo","status_verificacao","observacoes"
"AC-01","imagem","recursos/pauta-limpa.png","verificado_alinhado","Clave de Sol calibrada com offset vertical (-10*scale); espiral central envolve exatamente a linha 2 (G4)"
"AC-01","imagem","recursos/pauta-anotada.png","verificado_alinhado","Clave de Sol calibrada; alinhamento confirmado com linha 2"
"AC-01","imagem","recursos/pauta-celular.png","verificado_alinhado","Clave de Sol calibrada nos 2 sistemas verticais"
"AC-01","imagem","recursos/sistema-1-c1-c2.png","verificado_alinhado","Sistema 1 isolado para smartphone 375px com clave perfeitamente alinhada"
"AC-01","imagem","recursos/sistema-2-c3-c4.png","verificado_alinhado","Sistema 2 isolado para smartphone 375px com clave perfeitamente alinhada"
"AC-01","imagem","recursos/tarefa-transferencia/transferencia-pauta-limpa.png","verificado_alinhado","Clave de Sol da transferência calibrada na linha 2"
"AC-01","imagem","recursos/tarefa-transferencia/transferencia-pauta-gabarito.png","verificado_alinhado","Clave de Sol do gabarito da transferência calibrada na linha 2"
"AC-02","documento","recursos/gabarito-saida.md","isolado_sem_vazamento","Respostas das 3 questões de saída extraídas para arquivo independente"
"AC-02","documento","AULA.md","revisado_sem_respostas","Perguntas de saída sem respostas parentéticas; afirmações sobre consolidação temperadas"
"AC-03","metodologia","AULA.md","retencao_completa","Revisão em 24-48h sem consulta prévia (cold recall) com regras de decisão; duas variações explícitas"
"AC-04","dados_schema","aula.json","contrato_14_pontos","Estrutura de dados completa cobrindo os 14 pontos do contrato com canonicidade formalmente declarada"
"AC-05","cronograma","AULA.md","balanceado_40min","Plano de 40 min cronometrado (5+4+13+3+7+4+4=40); versão de 20 min declara conteúdo adiado; 60 BPM não é trava excludente"
"AC-06","precisao_linguagem","AULA.md","terminologia_rigorosa","Cordas da 1ª à 6ª; semínima vs mínima descritas formalmente; mf como intensidade relativa; hipóteses em vez de certezas médicas/psicológicas"
"AC-07","mecanica_instrumental","AULA.md","amortecimento_gradual","Amortecimento com gradação (preparação tolera sobra; alvo introduz corte suave); contagem explícita 3-4-1 no loop de recuperação"
"AC-08","validador","validar-aula.cjs","parser_rfc4180","Parser CSV RFC 4180 real com suporte a aspas e quebras de linha; checagem de links e testes negativos inclusos"
"AC-09","ergonomia_visual","VERIFICACOES.md","inspecao_375px","Inspeção em largura de 375px documentada; sistemas isolados fornecidos; fone opcional; códigos de acervo movidos para anexo"
